label,coordinate
3915,645.62500
4317,621.52500
4001,641.90870
4029,638.84004
4041,637.52500
4333,619.28233
2103,774.53870
2101,774.89522
1485,827.41413
1601,810.16957
4481,593.19500
4483,593.01500
4501,590.67000
4477,593.54609
4473,594.13500
4379,609.85500
4375,610.64500
3715,658.73000
3535,667.97478
3237,687.80652
2917,708.27478
2823,717.17217
2711,729.74217
2433,742.46217
1429,837.90565
1411,842.70130
1359,851.56630
1277,866.52065
1195,880.04565
867,919.73565
863,920.33065
861,920.64304
859,920.94065
855,920.75804
849,921.62065
821,926.85065
815,927.92565
813,928.08543
811,928.27565
809,928.73043
807,928.91543
801,929.99565
701,933.03543
727,932.52565
611,942.48565
555,947.64043
307,961.82065
