id,label,coordinate,street_side,hidden
445,5115,516.03798,n,False
446,5107,517.34508,n,False
447,5105,517.63423,n,False
448,5103,518.01448,n,False
449,5101,518.44622,n,False
450,Normandie Avenue,519.44975,n,False
451,5067,520.93368,n,False
452,5065,521.19511,n,False
453,5063,521.45257,n,False
454,5061,521.95560,n,False
455,5057,522.88246,n,False
456,5055,523.38946,n,False
457,5053,523.47660,n,False
458,5051,524.27275,n,False
459,North Mariposa Avenue,525.45757,n,False
460,5025,527.35039,n,False
461,5007,529.83785,n,False
462,North Alexandria Avenue,531.60511,n,False
463,4975,532.69765,n,False
464,4971,533.56905,n,False
465,4969,534.15923,n,False
2186,4965,534.28500,n,False
466,4963,534.79298,n,False
467,4961,535.13758,n,False
468,4959,535.32770,n,False
469,4957,535.67627,n,False
470,4955,536.00898,n,False
471,4953,536.32586,n,False
472,4951,536.82097,n,False
473,Kenmore Avenue,537.64824,n,False
474,4929,538.79748,n,False
475,Edgemont Street,543.65612,n,False
476,4867,547.03621,n,False
477,4801,554.64912,n,False
2187,4777,556.06000,n,False
478,4747,556.63751,n,False
479,4733,559.14477,n,False
480,4711,564.83267,n,False
481,4705,566.49626,n,False
482,Vermont Avenue,567.89764,n,False
483,4661,570.36609,n,False
484,4635,573.99034,n,False
485,4629,574.84194,n,False
486,4625,575.90743,n,False
487,4621,576.48176,n,False
488,4619,576.90162,n,False
489,4611,577.67796,n,False
490,4601,579.17123,n,False
491,Rodney Drive,580.05331,n,False
492,4551,581.61117,n,False
495,Lyman Place,586.13075,s,False
496,4546,585.05038,s,False
497,4572,581.26676,s,False
498,4650,576.77348,s,False
499,Vermont Avenue,567.89764,s,False
500,4700,565.72511,s,False
501,New Hampshire Avenue,561.85465,s,False
502,4760,558.80537,s,False
503,L Ron Hubbard Way,555.88156,s,False
504,4810,552.90754,s,False
505,4850,550.57523,s,False
506,Catalina Street,549.73407,s,False
507,4860,546.98199,s,False
508,Edgemont Street,543.65612,s,False
509,4900,543.12405,s,False
510,4904,542.66062,s,False
511,4908,542.09025,s,False
512,4918,539.73745,s,False
513,4924,538.77099,s,False
514,Kenmore Avenue,537.64824,s,False
515,4950,535.51485,s,False
516,4952,533.77363,s,False
517,North Alexandria Avenue,531.60511,s,False
518,5000,530.26687,s,False
519,5008,529.55761,s,False
520,5010,528.45172,s,False
521,5020,527.48526,s,False
522,5024,526.81690,s,False
523,5026,526.06249,s,False
524,North Mariposa Avenue,525.45756,s,False
525,5050,524.49183,s,False
526,5056,523.56102,s,False
527,5060,522.81928,s,False
528,5066,521.77860,s,False
529,5076,521.03940,s,False
530,5070,520.01177,s,False
531,Normandie Avenue,519.44975,s,False
532,5108,518.45538,s,False
533,5110,516.86704,s,False
534,5124,513.65473,s,False
535,5138,512.18126,s,False
536,5140,511.19895,s,False
537,5154,509.19868,s,False
538,5170,505.73341,s,False
539,Kingsley Drive,504.74429,s,False
540,5200,503.50683,s,False
541,5208,502.21160,s,False
542,5214,500.81736,s,False
543,5216,500.60810,s,False
544,5220,500.38629,s,False
545,5222,500.06942,s,False
546,5224,498.91215,s,False
547,5230,497.87335,s,False
548,5270,494.69589,s,False
549,5278,492.92322,s,False
550,5280,491.50655,s,False
551,Hobart Boulevard,490.98186,s,False
552,5300,489.78617,s,False
553,5302,489.25144,s,False
554,5308,488.64938,s,False
555,5314,487.61954,s,False
556,5316,486.86988,s,False
557,5322,486.12127,s,False
558,5324,485.90104,s,False
559,5326,485.00428,s,False
560,5334,484.27255,s,False
561,5336,483.86829,s,False
562,Serrano Avenue,482.94797,s,False
563,5420,478.88173,s,False
564,5422,474.84158,s,False
565,5450,472.38184,s,False
566,Western Avenue,471.10667,s,False
567,5510,466.57552,s,False
568,5520,463.82453,s,False
569,5526,463.56357,s,False
570,North Saint Andrew's Place,461.43085,s,False
571,5600,460.65789,s,False
572,5612,458.24358,s,False
573,5624,456.05160,s,False
574,5678,452.67266,s,False
575,North Wilton Place,446.82995,s,False
576,5700,445.86647,s,False
577,Hollywood Freeway,442.04488,s,False
578,5746,437.52210,s,False
579,Van Ness Avenue,434.77920,s,False
580,5800,427.75631,s,False
581,5858,423.91500,s,False
582,Bronson Avenue,422.65827,s,False
583,5900,421.82097,s,False
584,5902,421.35848,s,False
585,5904,421.01388,s,False
586,5906,420.51876,s,False
587,5908,419.98008,s,False
588,5910,419.55928,s,False
589,5920,417.95367,s,False
590,Tamarind Avenue,416.54532,s,False
591,5936,415.93597,s,False
592,5938,415.68643,s,False
593,5940,415.37352,s,False
594,5942,415.07645,s,False
595,5946,414.55915,s,False
596,5960,412.30300,s,False
597,Gordon Street,410.71197,s,False
598,6000,409.34404,s,False
599,6048,406.38919,s,False
600,6050,403.51383,s,False
601,6054,402.76890,s,False
602,6060,402.12327,s,False
603,6080,400.36793,s,False
604,Gower Street,398.48661,s,False
605,6100,397.37980,s,False
606,6102,396.71437,s,False
607,6106,394.75292,s,False
608,6108,394.13660,s,False
609,6110,393.54246,s,False
610,6112,393.11864,s,False
611,6114,392.39933,s,False
612,6122,391.74736,s,False
613,6124,390.95914,s,False
614,El Centro Avenue,390.48712,s,False
615,6206,389.81666,s,False
616,6210,387.05589,s,False
617,6230,384.91303,s,False
618,6254,381.12019,s,False
619,6260,380.75009,s,False
620,6262,380.07674,s,False
621,6266,379.42714,s,False
622,6268,378.86959,s,False
623,6270,378.18737,s,False
624,6290,375.72367,s,False
625,Vine Street,374.27960,s,False
626,6300,372.75864,s,False
627,6320,370.35436,s,False
628,6326,369.02747,s,False
629,Morningside Court,368.37648,s,False
630,6360,366.50829,s,False
631,6372,363.01475,s,False
632,Ivar Avenue,362.47325,s,False
633,6400,361.72349,s,False
634,6404,361.13378,s,False
635,6410,360.19504,s,False
636,6414,359.28121,s,False
637,North Cahuenga Boulevard,358.56117,s,False
638,6424,357.15305,s,False
639,6430,356.28165,s,False
640,6432,355.85387,s,False
641,6434,355.14916,s,False
642,Cole Place,354.15995,s,False
643,6450,352.62095,s,False
644,North Wilcox Avenue,350.07310,s,False
645,6464,348.52139,s,False
646,North Hudson Avenue,347.10400,s,False
647,6500,345.98957,s,False
648,6516,343.41971,s,False
649,6520,342.60376,s,False
650,6526,341.77593,s,False
651,6528,341.48000,s,False
652,6530,341.17104,s,False
653,6532,340.98488,s,False
654,6536,340.65815,s,False
655,6538,340.35905,s,False
656,6540,340.02044,s,False
657,6548,339.51741,s,False
658,6550,338.62224,s,False
659,Seward Street,337.95264,s,False
660,6600,337.47277,s,False
661,6602,336.96974,s,False
662,6606,336.41125,s,False
663,6612,336.04922,s,False
664,6616,335.07879,s,False
665,6624,333.30226,s,False
666,6630,332.17419,s,False
667,6634,331.39512,s,False
668,6640,330.52768,s,False
669,6650,328.09646,s,False
670,6658,326.90694,s,False
671,North Cherokee Avenue,326.35593,s,False
672,6660,324.28164,s,False
673,6690,320.48989,s,False
674,North Las Palmas Avenue,319.19534,s,False
675,6700,317.92083,s,False
676,6722,314.86854,s,False
677,6726,314.34174,s,False
678,6730,313.74557,s,False
679,6734,313.14554,s,False
680,6738,312.57313,s,False
681,6740,311.95726,s,False
682,North McCadden Place,311.33598,s,False
683,6750,309.65913,s,False
684,North Highland Avenue,307.66841,s,False
685,6800,305.50807,s,False
686,6818,304.50868,s,False
687,6820,303.67451,s,False
688,6826,302.55797,s,False
689,6830,301.42594,s,False
690,6836,300.73515,s,False
691,6838,300.11329,s,False
692,6842,299.29575,s,False
693,6846,298.96734,s,False
694,6848,298.21476,s,False
695,North Mansfield Avenue,297.60861,s,False
696,6920,294.91417,s,False
